,Content
0,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll
1,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f)
2,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799)
3,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f)
4,Ending TrustedInstaller initialization.
5,Starting the TrustedInstaller main loop.
6,TrustedInstaller service starts successfully.
7,SQM: Initializing online with Windows opt-in: False
8,SQM: Cleaning up report files older than 10 days.
9,SQM: Requesting upload of all unsent reports.
10,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]"
11,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL]
12,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6"
13,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL]
14,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."
15,NonStart: Checking to ensure startup processing was not required.
16,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90"
17,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)"""
18,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214"
19,00000007@2016/9/27:20:30:31.462 CSI perf trace:
20,"NonStart: Success, startup processing not required as expected."
21,Startup processing thread terminated normally
22,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized
23,Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.
