,EventTemplate
0,Loaded Servicing Stack <*> with Core: <*>\cbscore.dll
1,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
2,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
3,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
4,Ending TrustedInstaller initialization.
5,Starting the TrustedInstaller main loop.
6,TrustedInstaller service starts successfully.
7,SQM: Initializing online with Windows opt-in: False
8,SQM: Cleaning up report files older than <*> days.
9,SQM: Requesting upload of all unsent reports.
10,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - E_FAIL]"
11,SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL]
12,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>"
13,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL]
14,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."
15,NonStart: Checking to ensure startup processing was not required.
16,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @<*>"
17,"<*> Creating NT transaction (seq <*>), objectname [<*>]""(null)"""
18,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>"
19,<*> CSI perf trace:
20,"NonStart: Success, startup processing not required as expected."
21,Startup processing thread terminated normally
22,<*> CSI Store <*> (<*>) initialized
23,Session: <*>_<*> initialized by client WindowsUpdateAgent.
24,Session: <*>_<*> initialized by client WindowsUpdateAgent.
25,Warning: Unrecognized packageExtended attribute.
26,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
27,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
28,Warning: Unrecognized packageExtended attribute.
29,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
30,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
31,Warning: Unrecognized packageExtended attribute.
32,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
33,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
34,Warning: Unrecognized packageExtended attribute.
35,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
36,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
37,Warning: Unrecognized packageExtended attribute.
38,Warning: Unrecognized packageExtended attribute.
39,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
40,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
41,Warning: Unrecognized packageExtended attribute.
42,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
43,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
44,Warning: Unrecognized packageExtended attribute.
45,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
46,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
47,Warning: Unrecognized packageExtended attribute.
48,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
49,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
50,Warning: Unrecognized packageExtended attribute.
51,Warning: Unrecognized packageExtended attribute.
52,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
53,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
54,Warning: Unrecognized packageExtended attribute.
55,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
56,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
57,Warning: Unrecognized packageExtended attribute.
58,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
59,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
60,Warning: Unrecognized packageExtended attribute.
61,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
62,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
63,Warning: Unrecognized packageExtended attribute.
64,Warning: Unrecognized packageExtended attribute.
65,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
66,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
67,Warning: Unrecognized packageExtended attribute.
68,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
69,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
70,Warning: Unrecognized packageExtended attribute.
71,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
72,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
73,Warning: Unrecognized packageExtended attribute.
74,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
75,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
76,Warning: Unrecognized packageExtended attribute.
77,Warning: Unrecognized packageExtended attribute.
78,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
79,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
80,Warning: Unrecognized packageExtended attribute.
81,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
82,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
83,Warning: Unrecognized packageExtended attribute.
84,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
85,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
86,Warning: Unrecognized packageExtended attribute.
87,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
